id,display_name,display_name_alternatives,orcid
A5037182123,L. J. Bergsten,Laura Bergsten; Laura Jean Bergsten; L.J Bergsten; L. J. Bergsten,
A5055614347,William H. Crown,W. Crown; W. H. Crown; William Crown; William H. Crown,https://orcid.org/0000-0002-8822-2737
A5087649531,Aparna Baskaran,A. Baskaran; Aparna Baskaran; Arleen Susan Baskaran,https://orcid.org/0000-0003-1899-9978
A5109091920,Abraham H. Maslow,Abraham Maslow; A. H. Maslow; Abraham H. Maslow; Abraham Harold Maslow,
A5003865870,Christine E. Bishop,Christine E. Bishop; Bishop Ce; Bishop C; Cath Bishop; Callie L Bishop; C. Bishop; C. E. Bishop; Christine Bishop; Christine E. Bishop,https://orcid.org/0000-0002-4763-9819
A5008148363,Graham Wright,G. Wright; G.W Wright; Graham W. Wright; Graham Wright; G. W. Wright,https://orcid.org/0000-0002-9280-852X
A5108399987,R. G. Shulman,R. G. Shulman; R G. Shulman; R.G Shulman; Robebt G. Shulman,
A5027745223,Vincent Persichetti,Vincent Persichetti,
A5105841294,K. M. Loew,K. M. Loew; K. Loew; Kevin Michael Loew,
A5108413972,Alfred G. Redfield,Alfred G. Redfield; Alfred Guillou Redfield; A. G. Redfield; A.G Redfield; Alfred Redfield,
A5031941107,Mary Jo Larson,Mary J.O. Larson; Mary Larson; M. Larson; Mary Jo Larson; Mary J. Larson,https://orcid.org/0000-0003-3417-2882
A5048398346,Kiyoshi Igusa,Kiyoshi Igusa; K. Igusa,https://orcid.org/0000-0003-2780-0924
A5035762581,Jeff Gelles,J. Gelles; Jeff Gelles,https://orcid.org/0000-0001-7910-3421
A5074391834,Pierre van Moerbeke,P. Moerbeke; P. Van Moerbeke; Pierre Moerbeke; Pierre Van Moerbeke,
A5044339791,Jody Hoffer Gittell,Jody H. Gittell; Gittell Jh; Jody Gittell; J H Gittell; Jody Hoffer Gittell,https://orcid.org/0000-0003-2334-0246
A5107863711,G. D. Carrillo-Montoya,G. D. Carrillo‐Montoya,
A5048755820,Dominic Hodgkin,Dominic Hodgkin; D. K. R. Hodgkin; D. Hodgkin,https://orcid.org/0000-0002-4494-9176
A5052965284,Thomas C. Pochapsky,Thomas Pochapsky; T. Pochapsky; Thomas Charles Pochapsky; T. C. Pochapsky; Thomas C. Pochapsky,https://orcid.org/0000-0001-8995-1088
A5065756104,Zhonghao Jiang,Ziqing Jiang; Zhong Hao Jiang; Z.‐H. Jiang; Z. H. Jiang; Zhonghao Jiang; Zhong‐Hao Jiang; Zixiang Jiang; Z. Jiang; Z.H Jiang,https://orcid.org/0000-0002-5435-0722
A5017222943,Paul Garrity,Paul A. Garrity; P. A. Garrity; Paul Garrity,https://orcid.org/0000-0002-8274-6564
A5107888727,S. Dhaliwal,S. Dhaliwal,
A5063639195,Gina G. Turrigiano,G. Turrigiano; G. G. Turrigiano; Gina G. Turrigiano; G.G Turrigiano; Gina Turrigiano,https://orcid.org/0000-0002-4476-4059
A5052501746,Dmitry Kleinbock,Dmitry Ya. Kleinbock; D. Kleinbock; Dmitry Kleinbock; D. Ya. Kleinbock; Dmitry Y. Kleinbock; D. Y. Kleinbock,https://orcid.org/0000-0002-9418-5020
A5056127647,Leslie A. Zebrowitz,Leslie Zebrowitz; Leslie Zebrowitz McArthur; Leslie Z. McArthur; L. A. Zebrowitz; Leslie A. Zebrowitz; L. Zebrowitz,https://orcid.org/0000-0001-9183-8914
A5107871213,G. Sciolla,G. Sciolla,
A5058004344,Leslie C. Griffith,Leslie Griffith; L. C. Griffith; Griffith Lc; Leslie C. Griffith,https://orcid.org/0000-0003-3164-9876
A5090081740,Deborah W. Garnick,D Garnick; Deborah W. Garnick; D. W. Garnick; Deborah Garnick; Garnick Dw,https://orcid.org/0000-0002-9417-118X
A5033168441,Pengyu Hong,P. Hong; Pengyu Hong; Peichao Hong,https://orcid.org/0000-0002-3177-2754
A5036715761,Nianwen Xue,N.W. Xue; N.A. Xue'; NAIWEN XUE; Nianwen Xue,https://orcid.org/0000-0002-4364-3618
A5005450143,Anne Bezanson,A. Bezanson; Anne Bezanson,
A5110333618,Carolyn Cohen,C K Cohen; C. Cohen; Carolyn Cohen,
A5108220664,Silvan S. Schweber,Silvan S. Schweber; S. Schweber; S. S. Schweber; Silvan Schweber; Silvan Sam Schweber,
A5108470849,George L. Gaines,George Gaines; GEORGE L. JUN. GAINES; G. L. JUN. GAINES; G. L. Gaines; George Loweree Gaines; G.L Gaines; G Gaines; George L. Gaines,
A5108808778,Susan Kemper,Susan J. Kemper; S Kemper; Susan Kemper,
A5034939127,Raphael Schoenle,Raphael S. S Schoenle; Raphael S. Schoenle; Raphael Schoenle,https://orcid.org/0000-0001-9017-9849
A5040505592,Margaret K. Nelson,M. Nelson; M K Nelson; Margaret Nelson; Margaret K. Nelson,https://orcid.org/0000-0002-2453-8548
A5107878019,James Bensinger,James Bensinger; J. R. Bensinger; James R. Bensinger,
A5085855546,Jeroen M. G. Stevens,J. M.G. Stevens.; J.M.G Stevens; Jeroen Stevens; J. Dalton Stevens; J.M. Stevens; J. Stevens; Jeroen M. G. Stevens; Jeroen Mg Stevens; J. M Stevens; J. M. G. Stevens; Jeroen M. G Stevens,https://orcid.org/0000-0001-6730-4824
A5112206792,Gary H. Jefferson,Gary Jefferson; Gary H. John Zhiqiang Zhao Mai Lu Jefferson; Gary H. Jefferson; G. H. Jefferson,
A5111498798,Helen Van Vunakis,Helen. Van Vunakis; H V Vunakis; H. Van Vunakis,
A5108833899,Matt Addison,Matt Addison,
A5103564360,H. E. Huxley,Hugh E. Huxley; H. E. Huxley; Hugh Esmor Huxley; Hugh Huxley; H.E. . Huxley,
A5083795553,Mia Mikić,M. Mikic; Mia Mikić; Mia Mikic,https://orcid.org/0000-0001-9974-2781
A5009532141,Peter Foster,P. J. Foster; P. Foster; Peter Foster; Peter J. Foster; Peter John Foster,https://orcid.org/0000-0003-1818-5886
A5079216433,Franklin L. Burdette,Franklin Burdette; Franklin L. Burdette,
A5108610160,Morton Keller,M. D. Keller; Morton Keller; M Keller,
A5049648843,Gregory L. Freeze,G. L. Freeze; Gregory L. Freeze; Gregory Freeze,https://orcid.org/0000-0002-1878-5606
A5105649429,Maya Nicole Mancini,Maya Nicole Mancini; M. N. Mancini,https://orcid.org/0000-0003-1103-0179
A5008356734,Susan L. Parish,Susan Parish; Susan L. Parish; S. L. Parish; S. Parish,https://orcid.org/0000-0001-9045-1750
A5022673361,Magali B. Hickey,Magali B. Hickey; Magali Hickey; M. B. Hickey,
A5058681045,David I. Auerbach,D.I. Auerbach; David Auerbach; David I. Auerbach; D. Auerbach,https://orcid.org/0000-0003-2736-0586
A5007892357,Robert T. Brennan,R T Brennan; Robert Thomas Brennan; R. Brennan; Robert T. Brennan; Robert Brennan,https://orcid.org/0000-0001-6158-225X
